Date,mcpc,ancillarytype
1/1/2017 12:00:00 AM,0.01000,Non Spin
1/1/2017 12:00:00 AM,5.00000,Regulation Down
1/1/2017 12:00:00 AM,5.00000,Regulation Up
1/1/2017 12:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 1:00:00 AM,0.01000,Non Spin
1/1/2017 1:00:00 AM,3.76000,Regulation Down
1/1/2017 1:00:00 AM,3.34000,Regulation Up
1/1/2017 1:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 2:00:00 AM,0.47000,Non Spin
1/1/2017 2:00:00 AM,3.50000,Regulation Down
1/1/2017 2:00:00 AM,3.05000,Regulation Up
1/1/2017 2:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 3:00:00 AM,0.47000,Non Spin
1/1/2017 3:00:00 AM,3.50000,Regulation Down
1/1/2017 3:00:00 AM,3.20000,Regulation Up
1/1/2017 3:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 4:00:00 AM,0.47000,Non Spin
1/1/2017 4:00:00 AM,5.00000,Regulation Down
1/1/2017 4:00:00 AM,8.00000,Regulation Up
1/1/2017 4:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 5:00:00 AM,0.50000,Non Spin
1/1/2017 5:00:00 AM,9.11000,Regulation Down
1/1/2017 5:00:00 AM,22.00000,Regulation Up
1/1/2017 5:00:00 AM,8.00000,Responsive Reserve Service
1/1/2017 6:00:00 AM,1.00000,Non Spin
1/1/2017 6:00:00 AM,35.00000,Regulation Down
1/1/2017 6:00:00 AM,40.40000,Regulation Up
1/1/2017 6:00:00 AM,15.00000,Responsive Reserve Service
1/1/2017 7:00:00 AM,1.00000,Non Spin
1/1/2017 7:00:00 AM,3.52000,Regulation Down
1/1/2017 7:00:00 AM,5.00000,Regulation Up
1/1/2017 7:00:00 AM,11.55000,Responsive Reserve Service
1/1/2017 8:00:00 AM,1.00000,Non Spin
1/1/2017 8:00:00 AM,3.98000,Regulation Down
1/1/2017 8:00:00 AM,4.00000,Regulation Up
1/1/2017 8:00:00 AM,9.00000,Responsive Reserve Service
