Date,mcpc,ancillarytype
1/1/2022 12:00:00 AM,1.00000,Non Spin
1/1/2022 12:00:00 AM,6.00000,Regulation Down
1/1/2022 12:00:00 AM,5.65000,Regulation Up
1/1/2022 12:00:00 AM,5.65000,Responsive Reserve Service
1/1/2022 1:00:00 AM,1.05000,Non Spin
1/1/2022 1:00:00 AM,5.00000,Regulation Down
1/1/2022 1:00:00 AM,4.25000,Regulation Up
1/1/2022 1:00:00 AM,3.85000,Responsive Reserve Service
1/1/2022 2:00:00 AM,1.10000,Non Spin
1/1/2022 2:00:00 AM,5.00000,Regulation Down
1/1/2022 2:00:00 AM,4.25000,Regulation Up
1/1/2022 2:00:00 AM,2.65000,Responsive Reserve Service
1/1/2022 3:00:00 AM,1.00000,Non Spin
1/1/2022 3:00:00 AM,6.65000,Regulation Down
1/1/2022 3:00:00 AM,5.15000,Regulation Up
1/1/2022 3:00:00 AM,2.65000,Responsive Reserve Service
1/1/2022 4:00:00 AM,1.00000,Non Spin
1/1/2022 4:00:00 AM,8.00000,Regulation Down
1/1/2022 4:00:00 AM,7.60000,Regulation Up
1/1/2022 4:00:00 AM,3.75000,Responsive Reserve Service
1/1/2022 5:00:00 AM,1.00000,Non Spin
1/1/2022 5:00:00 AM,10.00000,Regulation Down
1/1/2022 5:00:00 AM,20.20000,Regulation Up
1/1/2022 5:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 6:00:00 AM,2.20000,Non Spin
1/1/2022 6:00:00 AM,11.00000,Regulation Down
1/1/2022 6:00:00 AM,65.50000,Regulation Up
1/1/2022 6:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 7:00:00 AM,2.42000,Non Spin
1/1/2022 7:00:00 AM,11.00000,Regulation Down
1/1/2022 7:00:00 AM,11.70000,Regulation Up
1/1/2022 7:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 8:00:00 AM,2.28000,Non Spin
1/1/2022 8:00:00 AM,43.00000,Regulation Down
1/1/2022 8:00:00 AM,10.15000,Regulation Up
1/1/2022 8:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 9:00:00 AM,2.28000,Non Spin
1/1/2022 9:00:00 AM,43.00000,Regulation Down
1/1/2022 9:00:00 AM,11.70000,Regulation Up
1/1/2022 9:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 10:00:00 AM,2.00000,Non Spin
1/1/2022 10:00:00 AM,27.69000,Regulation Down
1/1/2022 10:00:00 AM,10.15000,Regulation Up
1/1/2022 10:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 11:00:00 AM,2.10000,Non Spin
1/1/2022 11:00:00 AM,12.00000,Regulation Down
1/1/2022 11:00:00 AM,11.00000,Regulation Up
1/1/2022 11:00:00 AM,7.50000,Responsive Reserve Service
1/1/2022 12:00:00 PM,2.10000,Non Spin
1/1/2022 12:00:00 PM,12.11000,Regulation Down
1/1/2022 12:00:00 PM,8.00000,Regulation Up
1/1/2022 12:00:00 PM,7.50000,Responsive Reserve Service
1/1/2022 1:00:00 PM,2.20000,Non Spin
1/1/2022 1:00:00 PM,12.00000,Regulation Down
1/1/2022 1:00:00 PM,7.90000,Regulation Up
1/1/2022 1:00:00 PM,7.50000,Responsive Reserve Service
1/1/2022 2:00:00 PM,2.95000,Non Spin
1/1/2022 2:00:00 PM,12.00000,Regulation Down
1/1/2022 2:00:00 PM,8.10000,Regulation Up
1/1/2022 2:00:00 PM,7.50000,Responsive Reserve Service
1/1/2022 3:00:00 PM,3.00000,Non Spin
1/1/2022 3:00:00 PM,10.35000,Regulation Down
1/1/2022 3:00:00 PM,10.35000,Regulation Up
1/1/2022 3:00:00 PM,7.50000,Responsive Reserve Service
1/1/2022 4:00:00 PM,4.02000,Non Spin
1/1/2022 4:00:00 PM,10.65000,Regulation Down
1/1/2022 4:00:00 PM,11.15000,Regulation Up
1/1/2022 4:00:00 PM,9.15000,Responsive Reserve Service
1/1/2022 5:00:00 PM,4.45000,Non Spin
1/1/2022 5:00:00 PM,15.00000,Regulation Down
1/1/2022 5:00:00 PM,30.35000,Regulation Up
1/1/2022 5:00:00 PM,20.15000,Responsive Reserve Service
1/1/2022 6:00:00 PM,2.70000,Non Spin
1/1/2022 6:00:00 PM,9.15000,Regulation Down
1/1/2022 6:00:00 PM,10.15000,Regulation Up
1/1/2022 6:00:00 PM,10.15000,Responsive Reserve Service
1/1/2022 7:00:00 PM,3.00000,Non Spin
1/1/2022 7:00:00 PM,7.93000,Regulation Down
1/1/2022 7:00:00 PM,4.00000,Regulation Up
1/1/2022 7:00:00 PM,6.63000,Responsive Reserve Service
1/1/2022 8:00:00 PM,2.70000,Non Spin
1/1/2022 8:00:00 PM,6.45000,Regulation Down
1/1/2022 8:00:00 PM,4.25000,Regulation Up
1/1/2022 8:00:00 PM,3.95000,Responsive Reserve Service
1/1/2022 9:00:00 PM,2.28000,Non Spin
1/1/2022 9:00:00 PM,6.00000,Regulation Down
1/1/2022 9:00:00 PM,3.95000,Regulation Up
1/1/2022 9:00:00 PM,3.75000,Responsive Reserve Service
1/1/2022 10:00:00 PM,1.58000,Non Spin
1/1/2022 10:00:00 PM,5.56000,Regulation Down
1/1/2022 10:00:00 PM,3.00000,Regulation Up
1/1/2022 10:00:00 PM,2.65000,Responsive Reserve Service
1/1/2022 11:00:00 PM,1.35000,Non Spin
1/1/2022 11:00:00 PM,5.00000,Regulation Down
1/1/2022 11:00:00 PM,3.02000,Regulation Up
1/1/2022 11:00:00 PM,2.65000,Responsive Reserve Service
1/2/2022 12:00:00 AM,1.05000,Non Spin
1/2/2022 12:00:00 AM,3.50000,Regulation Down
1/2/2022 12:00:00 AM,3.21000,Regulation Up
1/2/2022 12:00:00 AM,3.12000,Responsive Reserve Service
1/2/2022 1:00:00 AM,1.00000,Non Spin
1/2/2022 1:00:00 AM,3.50000,Regulation Down
1/2/2022 1:00:00 AM,3.14000,Regulation Up
1/2/2022 1:00:00 AM,3.00000,Responsive Reserve Service
1/2/2022 2:00:00 AM,1.00000,Non Spin
1/2/2022 2:00:00 AM,3.01000,Regulation Down
1/2/2022 2:00:00 AM,2.87000,Regulation Up
1/2/2022 2:00:00 AM,2.47000,Responsive Reserve Service
1/2/2022 3:00:00 AM,1.00000,Non Spin
1/2/2022 3:00:00 AM,2.25000,Regulation Down
1/2/2022 3:00:00 AM,2.71000,Regulation Up
1/2/2022 3:00:00 AM,2.15000,Responsive Reserve Service
1/2/2022 4:00:00 AM,1.00000,Non Spin
1/2/2022 4:00:00 AM,1.50000,Regulation Down
1/2/2022 4:00:00 AM,3.50000,Regulation Up
1/2/2022 4:00:00 AM,2.82000,Responsive Reserve Service
1/2/2022 5:00:00 AM,1.00000,Non Spin
1/2/2022 5:00:00 AM,5.00000,Regulation Down
1/2/2022 5:00:00 AM,5.50000,Regulation Up
1/2/2022 5:00:00 AM,5.00000,Responsive Reserve Service
1/2/2022 6:00:00 AM,2.10000,Non Spin
1/2/2022 6:00:00 AM,4.02000,Regulation Down
1/2/2022 6:00:00 AM,11.61000,Regulation Up
1/2/2022 6:00:00 AM,8.86000,Responsive Reserve Service
1/2/2022 7:00:00 AM,2.35000,Non Spin
1/2/2022 7:00:00 AM,2.74000,Regulation Down
1/2/2022 7:00:00 AM,12.89000,Regulation Up
1/2/2022 7:00:00 AM,12.50000,Responsive Reserve Service
1/2/2022 8:00:00 AM,2.95000,Non Spin
1/2/2022 8:00:00 AM,8.00000,Regulation Down
1/2/2022 8:00:00 AM,12.50000,Regulation Up
1/2/2022 8:00:00 AM,12.50000,Responsive Reserve Service
1/2/2022 9:00:00 AM,2.42000,Non Spin
1/2/2022 9:00:00 AM,8.00000,Regulation Down
1/2/2022 9:00:00 AM,11.59000,Regulation Up
1/2/2022 9:00:00 AM,11.49000,Responsive Reserve Service
1/2/2022 10:00:00 AM,2.00000,Non Spin
1/2/2022 10:00:00 AM,8.00000,Regulation Down
1/2/2022 10:00:00 AM,11.35000,Regulation Up
1/2/2022 10:00:00 AM,11.35000,Responsive Reserve Service
1/2/2022 11:00:00 AM,2.00000,Non Spin
1/2/2022 11:00:00 AM,5.00000,Regulation Down
1/2/2022 11:00:00 AM,9.82000,Regulation Up
1/2/2022 11:00:00 AM,9.72000,Responsive Reserve Service
1/2/2022 12:00:00 PM,2.80000,Non Spin
1/2/2022 12:00:00 PM,4.91000,Regulation Down
1/2/2022 12:00:00 PM,6.41000,Regulation Up
1/2/2022 12:00:00 PM,6.31000,Responsive Reserve Service
1/2/2022 1:00:00 PM,2.80000,Non Spin
1/2/2022 1:00:00 PM,3.50000,Regulation Down
1/2/2022 1:00:00 PM,4.60000,Regulation Up
1/2/2022 1:00:00 PM,4.50000,Responsive Reserve Service
1/2/2022 2:00:00 PM,4.42000,Non Spin
1/2/2022 2:00:00 PM,4.39000,Regulation Down
1/2/2022 2:00:00 PM,4.89000,Regulation Up
1/2/2022 2:00:00 PM,4.50000,Responsive Reserve Service
1/2/2022 3:00:00 PM,5.33000,Non Spin
1/2/2022 3:00:00 PM,3.50000,Regulation Down
1/2/2022 3:00:00 PM,7.98000,Regulation Up
1/2/2022 3:00:00 PM,4.50000,Responsive Reserve Service
1/2/2022 4:00:00 PM,9.97000,Non Spin
1/2/2022 4:00:00 PM,1.93000,Regulation Down
1/2/2022 4:00:00 PM,10.97000,Regulation Up
1/2/2022 4:00:00 PM,7.97000,Responsive Reserve Service
1/2/2022 5:00:00 PM,59.73000,Non Spin
1/2/2022 5:00:00 PM,5.37000,Regulation Down
1/2/2022 5:00:00 PM,62.95000,Regulation Up
1/2/2022 5:00:00 PM,55.42000,Responsive Reserve Service
1/2/2022 6:00:00 PM,61.79000,Non Spin
1/2/2022 6:00:00 PM,5.06000,Regulation Down
1/2/2022 6:00:00 PM,60.15000,Regulation Up
1/2/2022 6:00:00 PM,60.15000,Responsive Reserve Service
1/2/2022 7:00:00 PM,39.99000,Non Spin
1/2/2022 7:00:00 PM,4.19000,Regulation Down
1/2/2022 7:00:00 PM,31.20000,Regulation Up
1/2/2022 7:00:00 PM,35.20000,Responsive Reserve Service
1/2/2022 8:00:00 PM,33.37000,Non Spin
1/2/2022 8:00:00 PM,3.63000,Regulation Down
1/2/2022 8:00:00 PM,28.15000,Regulation Up
1/2/2022 8:00:00 PM,28.58000,Responsive Reserve Service
1/2/2022 9:00:00 PM,18.30000,Non Spin
1/2/2022 9:00:00 PM,5.00000,Regulation Down
1/2/2022 9:00:00 PM,15.27000,Regulation Up
1/2/2022 9:00:00 PM,16.47000,Responsive Reserve Service
1/2/2022 10:00:00 PM,4.99000,Non Spin
1/2/2022 10:00:00 PM,4.04000,Regulation Down
1/2/2022 10:00:00 PM,5.04000,Regulation Up
1/2/2022 10:00:00 PM,5.04000,Responsive Reserve Service
1/2/2022 11:00:00 PM,3.14000,Non Spin
1/2/2022 11:00:00 PM,4.19000,Regulation Down
1/2/2022 11:00:00 PM,5.19000,Regulation Up
1/2/2022 11:00:00 PM,5.19000,Responsive Reserve Service
1/3/2022 12:00:00 AM,1.85000,Non Spin
1/3/2022 12:00:00 AM,1.36000,Regulation Down
1/3/2022 12:00:00 AM,3.15000,Regulation Up
1/3/2022 12:00:00 AM,3.18000,Responsive Reserve Service
1/3/2022 1:00:00 AM,1.55000,Non Spin
1/3/2022 1:00:00 AM,0.01000,Regulation Down
1/3/2022 1:00:00 AM,3.15000,Regulation Up
1/3/2022 1:00:00 AM,3.11000,Responsive Reserve Service
1/3/2022 2:00:00 AM,1.70000,Non Spin
1/3/2022 2:00:00 AM,0.01000,Regulation Down
1/3/2022 2:00:00 AM,3.15000,Regulation Up
1/3/2022 2:00:00 AM,2.79000,Responsive Reserve Service
1/3/2022 3:00:00 AM,1.70000,Non Spin
1/3/2022 3:00:00 AM,0.01000,Regulation Down
1/3/2022 3:00:00 AM,3.11000,Regulation Up
1/3/2022 3:00:00 AM,2.20000,Responsive Reserve Service
1/3/2022 4:00:00 AM,1.70000,Non Spin
1/3/2022 4:00:00 AM,0.01000,Regulation Down
1/3/2022 4:00:00 AM,4.22000,Regulation Up
1/3/2022 4:00:00 AM,3.72000,Responsive Reserve Service
1/3/2022 5:00:00 AM,9.19000,Non Spin
1/3/2022 5:00:00 AM,3.50000,Regulation Down
1/3/2022 5:00:00 AM,10.39000,Regulation Up
1/3/2022 5:00:00 AM,10.00000,Responsive Reserve Service
1/3/2022 6:00:00 AM,86.15000,Non Spin
1/3/2022 6:00:00 AM,6.93000,Regulation Down
1/3/2022 6:00:00 AM,83.50000,Regulation Up
1/3/2022 6:00:00 AM,67.44000,Responsive Reserve Service
1/3/2022 7:00:00 AM,91.39000,Non Spin
1/3/2022 7:00:00 AM,3.69000,Regulation Down
1/3/2022 7:00:00 AM,78.32000,Regulation Up
1/3/2022 7:00:00 AM,74.15000,Responsive Reserve Service
1/3/2022 8:00:00 AM,26.82000,Non Spin
1/3/2022 8:00:00 AM,5.00000,Regulation Down
1/3/2022 8:00:00 AM,22.07000,Regulation Up
1/3/2022 8:00:00 AM,21.67000,Responsive Reserve Service
1/3/2022 9:00:00 AM,11.21000,Non Spin
1/3/2022 9:00:00 AM,7.11000,Regulation Down
1/3/2022 9:00:00 AM,11.00000,Regulation Up
1/3/2022 9:00:00 AM,10.00000,Responsive Reserve Service
1/3/2022 10:00:00 AM,5.00000,Non Spin
1/3/2022 10:00:00 AM,5.00000,Regulation Down
1/3/2022 10:00:00 AM,6.01000,Regulation Up
1/3/2022 10:00:00 AM,5.01000,Responsive Reserve Service
1/3/2022 11:00:00 AM,2.80000,Non Spin
1/3/2022 11:00:00 AM,5.00000,Regulation Down
1/3/2022 11:00:00 AM,5.71000,Regulation Up
