Date,mcpc,ancillarytype
1/1/2025 12:00:00 AM,0.03000,ECRS
1/1/2025 12:00:00 AM,0.63000,Non Spin
1/1/2025 12:00:00 AM,0.64000,Regulation Down
1/1/2025 12:00:00 AM,1.09000,Regulation Up
1/1/2025 12:00:00 AM,0.63000,Responsive Reserve Service
1/1/2025 1:00:00 AM,0.03000,ECRS
1/1/2025 1:00:00 AM,0.50000,Non Spin
1/1/2025 1:00:00 AM,1.35000,Regulation Down
1/1/2025 1:00:00 AM,1.06000,Regulation Up
1/1/2025 1:00:00 AM,0.50000,Responsive Reserve Service
1/1/2025 2:00:00 AM,0.03000,ECRS
1/1/2025 2:00:00 AM,0.94000,Non Spin
1/1/2025 2:00:00 AM,0.50000,Regulation Down
1/1/2025 2:00:00 AM,0.95000,Regulation Up
1/1/2025 2:00:00 AM,0.58000,Responsive Reserve Service
1/1/2025 3:00:00 AM,0.03000,ECRS
1/1/2025 3:00:00 AM,0.94000,Non Spin
1/1/2025 3:00:00 AM,1.53000,Regulation Down
1/1/2025 3:00:00 AM,1.04000,Regulation Up
1/1/2025 3:00:00 AM,0.50000,Responsive Reserve Service
1/1/2025 4:00:00 AM,0.03000,ECRS
1/1/2025 4:00:00 AM,0.81000,Non Spin
1/1/2025 4:00:00 AM,0.50000,Regulation Down
1/1/2025 4:00:00 AM,1.03000,Regulation Up
1/1/2025 4:00:00 AM,0.78000,Responsive Reserve Service
1/1/2025 5:00:00 AM,0.05000,ECRS
1/1/2025 5:00:00 AM,0.81000,Non Spin
1/1/2025 5:00:00 AM,1.53000,Regulation Down
1/1/2025 5:00:00 AM,1.19000,Regulation Up
1/1/2025 5:00:00 AM,0.63000,Responsive Reserve Service
1/1/2025 6:00:00 AM,0.11000,ECRS
1/1/2025 6:00:00 AM,1.07000,Non Spin
1/1/2025 6:00:00 AM,1.53000,Regulation Down
1/1/2025 6:00:00 AM,0.94000,Regulation Up
1/1/2025 6:00:00 AM,0.94000,Responsive Reserve Service
1/1/2025 7:00:00 AM,0.12000,ECRS
1/1/2025 7:00:00 AM,1.04000,Non Spin
1/1/2025 7:00:00 AM,0.73000,Regulation Down
1/1/2025 7:00:00 AM,0.75000,Regulation Up
1/1/2025 7:00:00 AM,1.00000,Responsive Reserve Service
1/1/2025 8:00:00 AM,1.03000,ECRS
1/1/2025 8:00:00 AM,1.03000,Non Spin
1/1/2025 8:00:00 AM,2.00000,Regulation Down
1/1/2025 8:00:00 AM,1.03000,Regulation Up
1/1/2025 8:00:00 AM,1.03000,Responsive Reserve Service
1/1/2025 9:00:00 AM,1.07000,ECRS
1/1/2025 9:00:00 AM,1.07000,Non Spin
1/1/2025 9:00:00 AM,0.49000,Regulation Down
1/1/2025 9:00:00 AM,1.57000,Regulation Up
1/1/2025 9:00:00 AM,1.07000,Responsive Reserve Service
1/1/2025 10:00:00 AM,0.73000,ECRS
1/1/2025 10:00:00 AM,0.97000,Non Spin
1/1/2025 10:00:00 AM,0.49000,Regulation Down
1/1/2025 10:00:00 AM,1.23000,Regulation Up
1/1/2025 10:00:00 AM,0.73000,Responsive Reserve Service
1/1/2025 11:00:00 AM,0.24000,ECRS
1/1/2025 11:00:00 AM,1.00000,Non Spin
1/1/2025 11:00:00 AM,0.49000,Regulation Down
1/1/2025 11:00:00 AM,1.24000,Regulation Up
1/1/2025 11:00:00 AM,0.49000,Responsive Reserve Service
1/1/2025 12:00:00 PM,0.06000,ECRS
1/1/2025 12:00:00 PM,0.99000,Non Spin
1/1/2025 12:00:00 PM,0.49000,Regulation Down
1/1/2025 12:00:00 PM,1.15000,Regulation Up
1/1/2025 12:00:00 PM,0.40000,Responsive Reserve Service
1/1/2025 1:00:00 PM,0.09000,ECRS
1/1/2025 1:00:00 PM,0.94000,Non Spin
1/1/2025 1:00:00 PM,0.50000,Regulation Down
1/1/2025 1:00:00 PM,1.15000,Regulation Up
1/1/2025 1:00:00 PM,0.40000,Responsive Reserve Service
1/1/2025 2:00:00 PM,0.50000,ECRS
1/1/2025 2:00:00 PM,0.94000,Non Spin
1/1/2025 2:00:00 PM,0.64000,Regulation Down
1/1/2025 2:00:00 PM,1.25000,Regulation Up
1/1/2025 2:00:00 PM,0.50000,Responsive Reserve Service
1/1/2025 3:00:00 PM,0.32000,ECRS
1/1/2025 3:00:00 PM,0.92000,Non Spin
1/1/2025 3:00:00 PM,0.98000,Regulation Down
1/1/2025 3:00:00 PM,1.21000,Regulation Up
1/1/2025 3:00:00 PM,0.46000,Responsive Reserve Service
1/1/2025 4:00:00 PM,0.94000,ECRS
1/1/2025 4:00:00 PM,0.98000,Non Spin
1/1/2025 4:00:00 PM,2.13000,Regulation Down
1/1/2025 4:00:00 PM,0.94000,Regulation Up
