Date,mcpc,ancillarytype
1/1/2023 12:00:00 AM,0.97000,Non Spin
1/1/2023 12:00:00 AM,4.69000,Regulation Down
1/1/2023 12:00:00 AM,1.95000,Regulation Up
1/1/2023 12:00:00 AM,1.45000,Responsive Reserve Service
1/1/2023 1:00:00 AM,0.97000,Non Spin
1/1/2023 1:00:00 AM,1.49000,Regulation Down
1/1/2023 1:00:00 AM,1.10000,Regulation Up
1/1/2023 1:00:00 AM,1.45000,Responsive Reserve Service
1/1/2023 2:00:00 AM,1.00000,Non Spin
1/1/2023 2:00:00 AM,1.49000,Regulation Down
1/1/2023 2:00:00 AM,1.95000,Regulation Up
1/1/2023 2:00:00 AM,1.45000,Responsive Reserve Service
1/1/2023 3:00:00 AM,1.00000,Non Spin
1/1/2023 3:00:00 AM,2.49000,Regulation Down
1/1/2023 3:00:00 AM,1.95000,Regulation Up
1/1/2023 3:00:00 AM,1.45000,Responsive Reserve Service
1/1/2023 4:00:00 AM,1.00000,Non Spin
1/1/2023 4:00:00 AM,1.49000,Regulation Down
1/1/2023 4:00:00 AM,1.99000,Regulation Up
1/1/2023 4:00:00 AM,1.47000,Responsive Reserve Service
1/1/2023 5:00:00 AM,1.00000,Non Spin
1/1/2023 5:00:00 AM,8.79000,Regulation Down
1/1/2023 5:00:00 AM,3.29000,Regulation Up
1/1/2023 5:00:00 AM,1.95000,Responsive Reserve Service
1/1/2023 6:00:00 AM,1.11000,Non Spin
1/1/2023 6:00:00 AM,3.29000,Regulation Down
1/1/2023 6:00:00 AM,3.29000,Regulation Up
1/1/2023 6:00:00 AM,1.99000,Responsive Reserve Service
1/1/2023 7:00:00 AM,1.05000,Non Spin
1/1/2023 7:00:00 AM,2.69000,Regulation Down
1/1/2023 7:00:00 AM,2.69000,Regulation Up
1/1/2023 7:00:00 AM,2.00000,Responsive Reserve Service
1/1/2023 8:00:00 AM,1.05000,Non Spin
1/1/2023 8:00:00 AM,18.69000,Regulation Down
1/1/2023 8:00:00 AM,3.00000,Regulation Up
1/1/2023 8:00:00 AM,1.95000,Responsive Reserve Service
1/1/2023 9:00:00 AM,1.07000,Non Spin
1/1/2023 9:00:00 AM,7.50000,Regulation Down
1/1/2023 9:00:00 AM,4.80000,Regulation Up
1/1/2023 9:00:00 AM,1.89000,Responsive Reserve Service
1/1/2023 10:00:00 AM,1.04000,Non Spin
1/1/2023 10:00:00 AM,7.01000,Regulation Down
1/1/2023 10:00:00 AM,3.29000,Regulation Up
1/1/2023 10:00:00 AM,1.50000,Responsive Reserve Service
1/1/2023 11:00:00 AM,1.04000,Non Spin
1/1/2023 11:00:00 AM,5.46000,Regulation Down
1/1/2023 11:00:00 AM,2.45000,Regulation Up
1/1/2023 11:00:00 AM,1.65000,Responsive Reserve Service
1/1/2023 12:00:00 PM,1.04000,Non Spin
1/1/2023 12:00:00 PM,5.30000,Regulation Down
1/1/2023 12:00:00 PM,2.29000,Regulation Up
1/1/2023 12:00:00 PM,1.65000,Responsive Reserve Service
1/1/2023 1:00:00 PM,1.04000,Non Spin
1/1/2023 1:00:00 PM,4.69000,Regulation Down
1/1/2023 1:00:00 PM,2.10000,Regulation Up
1/1/2023 1:00:00 PM,1.50000,Responsive Reserve Service
1/1/2023 2:00:00 PM,4.79000,Non Spin
1/1/2023 2:00:00 PM,5.69000,Regulation Down
1/1/2023 2:00:00 PM,2.68000,Regulation Up
1/1/2023 2:00:00 PM,1.65000,Responsive Reserve Service
1/1/2023 3:00:00 PM,3.41000,Non Spin
1/1/2023 3:00:00 PM,5.69000,Regulation Down
1/1/2023 3:00:00 PM,3.03000,Regulation Up
1/1/2023 3:00:00 PM,1.50000,Responsive Reserve Service
1/1/2023 4:00:00 PM,4.79000,Non Spin
1/1/2023 4:00:00 PM,7.01000,Regulation Down
1/1/2023 4:00:00 PM,6.74000,Regulation Up
1/1/2023 4:00:00 PM,2.00000,Responsive Reserve Service
1/1/2023 5:00:00 PM,8.95000,Non Spin
1/1/2023 5:00:00 PM,10.15000,Regulation Down
1/1/2023 5:00:00 PM,13.36000,Regulation Up
1/1/2023 5:00:00 PM,10.13000,Responsive Reserve Service
1/1/2023 6:00:00 PM,1.11000,Non Spin
1/1/2023 6:00:00 PM,3.35000,Regulation Down
