Date,mcpc,ancillarytype
1/1/2019 12:00:00 AM,1.08000,Non Spin
1/1/2019 12:00:00 AM,5.26000,Regulation Down
1/1/2019 12:00:00 AM,5.00000,Regulation Up
1/1/2019 12:00:00 AM,6.04000,Responsive Reserve Service
1/1/2019 1:00:00 AM,1.05000,Non Spin
1/1/2019 1:00:00 AM,3.98000,Regulation Down
1/1/2019 1:00:00 AM,4.37000,Regulation Up
1/1/2019 1:00:00 AM,5.90000,Responsive Reserve Service
1/1/2019 2:00:00 AM,0.93000,Non Spin
1/1/2019 2:00:00 AM,3.50000,Regulation Down
1/1/2019 2:00:00 AM,4.44000,Regulation Up
1/1/2019 2:00:00 AM,5.01000,Responsive Reserve Service
1/1/2019 3:00:00 AM,0.93000,Non Spin
1/1/2019 3:00:00 AM,3.47000,Regulation Down
1/1/2019 3:00:00 AM,5.00000,Regulation Up
1/1/2019 3:00:00 AM,5.63000,Responsive Reserve Service
1/1/2019 4:00:00 AM,0.94000,Non Spin
1/1/2019 4:00:00 AM,8.00000,Regulation Down
1/1/2019 4:00:00 AM,7.00000,Regulation Up
1/1/2019 4:00:00 AM,7.02000,Responsive Reserve Service
1/1/2019 5:00:00 AM,0.97000,Non Spin
1/1/2019 5:00:00 AM,8.00000,Regulation Down
1/1/2019 5:00:00 AM,15.00000,Regulation Up
1/1/2019 5:00:00 AM,7.61000,Responsive Reserve Service
1/1/2019 6:00:00 AM,5.53000,Non Spin
1/1/2019 6:00:00 AM,4.01000,Regulation Down
1/1/2019 6:00:00 AM,26.55000,Regulation Up
1/1/2019 6:00:00 AM,11.01000,Responsive Reserve Service
1/1/2019 7:00:00 AM,6.04000,Non Spin
1/1/2019 7:00:00 AM,2.61000,Regulation Down
1/1/2019 7:00:00 AM,8.04000,Regulation Up
1/1/2019 7:00:00 AM,8.24000,Responsive Reserve Service
1/1/2019 8:00:00 AM,5.00000,Non Spin
1/1/2019 8:00:00 AM,3.46000,Regulation Down
1/1/2019 8:00:00 AM,7.76000,Regulation Up
1/1/2019 8:00:00 AM,7.98000,Responsive Reserve Service
1/1/2019 9:00:00 AM,5.36000,Non Spin
1/1/2019 9:00:00 AM,3.46000,Regulation Down
1/1/2019 9:00:00 AM,6.32000,Regulation Up
1/1/2019 9:00:00 AM,7.48000,Responsive Reserve Service
1/1/2019 10:00:00 AM,0.99000,Non Spin
1/1/2019 10:00:00 AM,5.26000,Regulation Down
