Date,mcpc,ancillarytype
1/1/2024 12:00:00 AM,0.10000,ECRS
1/1/2024 12:00:00 AM,0.94000,Non Spin
1/1/2024 12:00:00 AM,1.51000,Regulation Down
1/1/2024 12:00:00 AM,1.49000,Regulation Up
1/1/2024 12:00:00 AM,1.00000,Responsive Reserve Service
1/1/2024 1:00:00 AM,0.11000,ECRS
1/1/2024 1:00:00 AM,0.94000,Non Spin
1/1/2024 1:00:00 AM,1.25000,Regulation Down
1/1/2024 1:00:00 AM,1.47000,Regulation Up
1/1/2024 1:00:00 AM,1.00000,Responsive Reserve Service
1/1/2024 2:00:00 AM,0.12000,ECRS
1/1/2024 2:00:00 AM,1.23000,Non Spin
1/1/2024 2:00:00 AM,1.25000,Regulation Down
1/1/2024 2:00:00 AM,1.80000,Regulation Up
1/1/2024 2:00:00 AM,1.00000,Responsive Reserve Service
1/1/2024 3:00:00 AM,0.13000,ECRS
1/1/2024 3:00:00 AM,1.23000,Non Spin
1/1/2024 3:00:00 AM,1.25000,Regulation Down
1/1/2024 3:00:00 AM,1.60000,Regulation Up
1/1/2024 3:00:00 AM,1.00000,Responsive Reserve Service
1/1/2024 4:00:00 AM,0.14000,ECRS
1/1/2024 4:00:00 AM,1.23000,Non Spin
1/1/2024 4:00:00 AM,1.25000,Regulation Down
1/1/2024 4:00:00 AM,2.00000,Regulation Up
1/1/2024 4:00:00 AM,1.01000,Responsive Reserve Service
1/1/2024 5:00:00 AM,0.15000,ECRS
1/1/2024 5:00:00 AM,1.25000,Non Spin
1/1/2024 5:00:00 AM,1.49000,Regulation Down
1/1/2024 5:00:00 AM,3.19000,Regulation Up
1/1/2024 5:00:00 AM,1.00000,Responsive Reserve Service
1/1/2024 6:00:00 AM,2.00000,ECRS
1/1/2024 6:00:00 AM,2.72000,Non Spin
1/1/2024 6:00:00 AM,1.93000,Regulation Down
1/1/2024 6:00:00 AM,3.98000,Regulation Up
1/1/2024 6:00:00 AM,1.50000,Responsive Reserve Service
1/1/2024 7:00:00 AM,2.00000,ECRS
1/1/2024 7:00:00 AM,2.72000,Non Spin
1/1/2024 7:00:00 AM,1.92000,Regulation Down
1/1/2024 7:00:00 AM,3.47000,Regulation Up
1/1/2024 7:00:00 AM,1.97000,Responsive Reserve Service
1/1/2024 8:00:00 AM,5.05000,ECRS
1/1/2024 8:00:00 AM,2.15000,Non Spin
1/1/2024 8:00:00 AM,5.73000,Regulation Down
1/1/2024 8:00:00 AM,2.52000,Regulation Up
1/1/2024 8:00:00 AM,2.05000,Responsive Reserve Service
1/1/2024 9:00:00 AM,4.20000,ECRS
1/1/2024 9:00:00 AM,2.15000,Non Spin
1/1/2024 9:00:00 AM,2.55000,Regulation Down
1/1/2024 9:00:00 AM,2.50000,Regulation Up
1/1/2024 9:00:00 AM,1.50000,Responsive Reserve Service
1/1/2024 10:00:00 AM,2.00000,ECRS
1/1/2024 10:00:00 AM,1.50000,Non Spin
1/1/2024 10:00:00 AM,1.79000,Regulation Down
1/1/2024 10:00:00 AM,2.20000,Regulation Up
1/1/2024 10:00:00 AM,1.40000,Responsive Reserve Service
1/1/2024 11:00:00 AM,1.72000,ECRS
1/1/2024 11:00:00 AM,1.45000,Non Spin
1/1/2024 11:00:00 AM,1.57000,Regulation Down
1/1/2024 11:00:00 AM,1.98000,Regulation Up
1/1/2024 11:00:00 AM,1.40000,Responsive Reserve Service
1/1/2024 12:00:00 PM,1.50000,ECRS
1/1/2024 12:00:00 PM,1.45000,Non Spin
1/1/2024 12:00:00 PM,1.48000,Regulation Down
1/1/2024 12:00:00 PM,1.98000,Regulation Up
1/1/2024 12:00:00 PM,1.50000,Responsive Reserve Service
1/1/2024 1:00:00 PM,1.15000,ECRS
1/1/2024 1:00:00 PM,1.29000,Non Spin
1/1/2024 1:00:00 PM,1.57000,Regulation Down
1/1/2024 1:00:00 PM,1.63000,Regulation Up
1/1/2024 1:00:00 PM,1.15000,Responsive Reserve Service
1/1/2024 2:00:00 PM,1.28000,ECRS
1/1/2024 2:00:00 PM,1.45000,Non Spin
1/1/2024 2:00:00 PM,1.57000,Regulation Down
1/1/2024 2:00:00 PM,1.65000,Regulation Up
1/1/2024 2:00:00 PM,1.28000,Responsive Reserve Service
1/1/2024 3:00:00 PM,1.08000,ECRS
1/1/2024 3:00:00 PM,1.29000,Non Spin
1/1/2024 3:00:00 PM,1.57000,Regulation Down
