Date,mcpc,ancillarytype
1/1/2021 12:00:00 AM,0.49000,Non Spin
1/1/2021 12:00:00 AM,1.05000,Regulation Down
1/1/2021 12:00:00 AM,0.01000,Regulation Up
1/1/2021 12:00:00 AM,4.63000,Responsive Reserve Service
1/1/2021 1:00:00 AM,0.49000,Non Spin
1/1/2021 1:00:00 AM,0.91000,Regulation Down
1/1/2021 1:00:00 AM,4.00000,Regulation Up
1/1/2021 1:00:00 AM,4.21000,Responsive Reserve Service
1/1/2021 2:00:00 AM,0.71000,Non Spin
1/1/2021 2:00:00 AM,0.47000,Regulation Down
1/1/2021 2:00:00 AM,4.00000,Regulation Up
1/1/2021 2:00:00 AM,4.01000,Responsive Reserve Service
1/1/2021 3:00:00 AM,0.74000,Non Spin
1/1/2021 3:00:00 AM,0.17000,Regulation Down
1/1/2021 3:00:00 AM,4.00000,Regulation Up
1/1/2021 3:00:00 AM,4.10000,Responsive Reserve Service
1/1/2021 4:00:00 AM,0.91000,Non Spin
1/1/2021 4:00:00 AM,1.34000,Regulation Down
1/1/2021 4:00:00 AM,4.49000,Regulation Up
1/1/2021 4:00:00 AM,4.50000,Responsive Reserve Service
1/1/2021 5:00:00 AM,0.93000,Non Spin
1/1/2021 5:00:00 AM,3.50000,Regulation Down
1/1/2021 5:00:00 AM,6.62000,Regulation Up
1/1/2021 5:00:00 AM,6.72000,Responsive Reserve Service
1/1/2021 6:00:00 AM,8.67000,Non Spin
1/1/2021 6:00:00 AM,2.33000,Regulation Down
1/1/2021 6:00:00 AM,11.39000,Regulation Up
1/1/2021 6:00:00 AM,11.19000,Responsive Reserve Service
1/1/2021 7:00:00 AM,8.00000,Non Spin
1/1/2021 7:00:00 AM,5.43000,Regulation Down
1/1/2021 7:00:00 AM,8.90000,Regulation Up
1/1/2021 7:00:00 AM,9.85000,Responsive Reserve Service
1/1/2021 8:00:00 AM,7.35000,Non Spin
1/1/2021 8:00:00 AM,15.00000,Regulation Down
1/1/2021 8:00:00 AM,7.65000,Regulation Up
1/1/2021 8:00:00 AM,11.35000,Responsive Reserve Service
1/1/2021 9:00:00 AM,5.00000,Non Spin
1/1/2021 9:00:00 AM,25.14000,Regulation Down
1/1/2021 9:00:00 AM,5.45000,Regulation Up
1/1/2021 9:00:00 AM,8.63000,Responsive Reserve Service
1/1/2021 10:00:00 AM,1.35000,Non Spin
