Date,mcpc,ancillarytype
1/1/2016 12:00:00 AM,0.85000,Non Spin
1/1/2016 12:00:00 AM,3.50000,Regulation Down
1/1/2016 12:00:00 AM,1.85000,Regulation Up
1/1/2016 12:00:00 AM,2.25000,Responsive Reserve Service
1/1/2016 1:00:00 AM,0.85000,Non Spin
1/1/2016 1:00:00 AM,3.11000,Regulation Down
1/1/2016 1:00:00 AM,1.00000,Regulation Up
1/1/2016 1:00:00 AM,2.00000,Responsive Reserve Service
1/1/2016 2:00:00 AM,0.85000,Non Spin
1/1/2016 2:00:00 AM,3.01000,Regulation Down
1/1/2016 2:00:00 AM,1.00000,Regulation Up
1/1/2016 2:00:00 AM,1.75000,Responsive Reserve Service
1/1/2016 3:00:00 AM,0.85000,Non Spin
1/1/2016 3:00:00 AM,3.01000,Regulation Down
1/1/2016 3:00:00 AM,1.00000,Regulation Up
1/1/2016 3:00:00 AM,1.75000,Responsive Reserve Service
1/1/2016 4:00:00 AM,0.85000,Non Spin
1/1/2016 4:00:00 AM,3.98000,Regulation Down
1/1/2016 4:00:00 AM,1.75000,Regulation Up
1/1/2016 4:00:00 AM,1.75000,Responsive Reserve Service
1/1/2016 5:00:00 AM,0.85000,Non Spin
1/1/2016 5:00:00 AM,8.61000,Regulation Down
1/1/2016 5:00:00 AM,2.25000,Regulation Up
1/1/2016 5:00:00 AM,2.25000,Responsive Reserve Service
1/1/2016 6:00:00 AM,1.90000,Non Spin
1/1/2016 6:00:00 AM,5.93000,Regulation Down
1/1/2016 6:00:00 AM,3.25000,Regulation Up
1/1/2016 6:00:00 AM,3.25000,Responsive Reserve Service
1/1/2016 7:00:00 AM,3.61000,Non Spin
1/1/2016 7:00:00 AM,3.50000,Regulation Down
1/1/2016 7:00:00 AM,3.01000,Regulation Up
1/1/2016 7:00:00 AM,3.01000,Responsive Reserve Service
1/1/2016 8:00:00 AM,2.00000,Non Spin
1/1/2016 8:00:00 AM,3.11000,Regulation Down
1/1/2016 8:00:00 AM,2.91000,Regulation Up
1/1/2016 8:00:00 AM,2.91000,Responsive Reserve Service
1/1/2016 9:00:00 AM,2.35000,Non Spin
1/1/2016 9:00:00 AM,3.01000,Regulation Down
1/1/2016 9:00:00 AM,3.10000,Regulation Up
1/1/2016 9:00:00 AM,3.11000,Responsive Reserve Service
1/1/2016 10:00:00 AM,4.82000,Non Spin
1/1/2016 10:00:00 AM,3.46000,Regulation Down
1/1/2016 10:00:00 AM,4.02000,Regulation Up
1/1/2016 10:00:00 AM,4.02000,Responsive Reserve Service
1/1/2016 11:00:00 AM,5.00000,Non Spin
1/1/2016 11:00:00 AM,3.50000,Regulation Down
1/1/2016 11:00:00 AM,3.78000,Regulation Up
1/1/2016 11:00:00 AM,4.02000,Responsive Reserve Service
1/1/2016 12:00:00 PM,5.00000,Non Spin
1/1/2016 12:00:00 PM,3.11000,Regulation Down
1/1/2016 12:00:00 PM,3.45000,Regulation Up
1/1/2016 12:00:00 PM,3.71000,Responsive Reserve Service
1/1/2016 1:00:00 PM,5.00000,Non Spin
1/1/2016 1:00:00 PM,3.46000,Regulation Down
