datetime,charging_mw,discharging_mw,net_output_mw
2024-01-05 03:00:00+00:00,-1532.931,982.6510000000001,-550.28
2024-01-05 04:00:00+00:00,-2203.858,592.2610000000001,-1611.597
2024-01-05 05:00:00+00:00,-3530.312,671.038,-2859.272
2024-01-05 06:00:00+00:00,-3435.224,775.245,-2659.977
2024-01-05 07:00:00+00:00,-2565.874,247.97000000000003,-2317.904
2024-01-05 08:00:00+00:00,-1980.453,562.749,-1417.703
2024-01-05 09:00:00+00:00,-1850.335,783.685,-1066.651
2024-01-05 10:00:00+00:00,-1664.102,1365.968,-298.13500000000005
2024-01-05 11:00:00+00:00,-761.89,906.195,144.30400000000003
2024-01-05 12:00:00+00:00,-916.763,2560.063,1643.298
2024-01-05 13:00:00+00:00,-441.324,5088.0960000000005,4646.772
2024-01-05 14:00:00+00:00,-2088.64,765.6320000000001,-1323.008
2024-01-05 15:00:00+00:00,-2632.688,655.854,-1976.834
2024-01-05 16:00:00+00:00,-2057.583,616.624,-1440.9589999999998
2024-01-05 17:00:00+00:00,-1888.393,814.431,-1073.964
2024-01-05 18:00:00+00:00,-6121.601,827.312,-5294.29
2024-01-05 19:00:00+00:00,-4323.057,898.213,-3424.841
2024-01-05 20:00:00+00:00,-4214.584,849.491,-3365.095
2024-01-05 21:00:00+00:00,-2009.635,854.0459999999999,-1155.588
2024-01-05 22:00:00+00:00,-1428.701,3119.831,1691.1299999999999
2024-01-05 23:00:00+00:00,-1002.122,4959.793,3957.672
2024-01-06 00:00:00+00:00,-1274.324,2440.449,1166.127
2024-01-06 01:00:00+00:00,-597.066,2810.929,2213.862
2024-01-06 02:00:00+00:00,-437.116,2296.005,1858.891
2024-01-06 03:00:00+00:00,-736.492,994.365,257.86999999999995
2024-01-06 04:00:00+00:00,-1156.361,897.855,-258.505
2024-01-06 05:00:00+00:00,-1028.321,1050.09,21.77000000000002
2024-01-06 06:00:00+00:00,-1270.147,1216.573,-53.573000000000036
2024-01-06 07:00:00+00:00,-1645.882,336.589,-1309.291
2024-01-06 08:00:00+00:00,-1540.999,778.212,-762.788
2024-01-06 09:00:00+00:00,-2275.643,620.8820000000001,-1654.761
2024-01-06 10:00:00+00:00,-1638.5430000000001,552.385,-1086.159
2024-01-06 11:00:00+00:00,-1099.333,1350.106,250.776
2024-01-06 12:00:00+00:00,-742.829,4021.671,3278.844
2024-01-06 13:00:00+00:00,-633.978,7617.884,6983.907999999999
2024-01-06 14:00:00+00:00,-2653.462,1730.355,-923.107
2024-01-06 15:00:00+00:00,-2709.783,633.963,-2075.819
